StateCode,State,Clinton,Trump,Others,Total
AZ,Arizona,1161167,1252401,159597,2573165
CO,Colorado,1338870,1202484,238866,2780220
FL,Florida,4504975,4617886,297178,9420039
IA,Iowa,653669,800983,111379,1566031
ME,Maine,357735,335593,54599,747927
MI,Michigan,2268839,2279543,250902,4799284
MN,Minnesota,1367716,1322951,254146,2944813
NV,Nevada,539260,512058,74067,1125385
NH,New Hampshire,348526,345790,49842,744158
NC,North Carolina,2189316,2362631,189617,4741564
OH,Ohio,2394164,2841005,261318,5496487
PA,Pennsylvania,2926441,2970733,218228,6115402
WI,Wisconsin,1382536,1405284,188330,2976150
AL,Alabama,729547,1318255,75570,2123372
AK,Alaska,116454,163387,38767,318608
AR,Arkansas,380494,684872,65269,1130635
CA,California,8753788,4483810,943997,14181595
CT,Connecticut,897572,673215,74133,1644920
DE,Delaware,235603,185127,20860,441590
DC,District of Columbia,282830,12723,15715,311268
GA,Georgia,1877963,2089104,125306,4092373
HI,Hawaii,266891,128847,33199,428937
ID,Idaho,189765,409055,91435,690255
IL,Illinois,3090729,2146015,299680,5536424
IN,Indiana,1033126,1557286,144546,2734958
KS,Kansas,427005,671018,86379,1184402
KY,Kentucky,628854,1202971,92324,1924149
LA,Louisiana,780154,1178638,70240,2029032
MD,Maryland,1677928,943169,160349,2781446
MA,Massachusetts,1995196,1090893,238957,3325046
MS,Mississippi,485131,700714,23512,1209357
MO,Missouri,1071068,1594511,143026,2808605
MT,Montana,177709,279240,40198,497147
NE,Nebraska,284494,495961,63772,844227
NJ,New Jersey,2148278,1601933,123835,3874046
NM,New Mexico,385234,319666,93418,798318
NY,New York,4547562,2814589,348562,7710713
ND,North Dakota,93758,216794,33808,344360
OK,Oklahoma,420375,949136,83481,1452992
OR,Oregon,1002106,782403,216827,2001336
RI,Rhode Island,252525,180543,31076,464144
SC,South Carolina,855373,1155389,92265,2103027
SD,South Dakota,117458,227721,24914,370093
TN,Tennessee,870695,1522925,114407,2508027
TX,Texas,3877868,4685047,406311,8969226
UT,Utah,310676,515231,305523,1131430
VT,Vermont,178573,95369,41125,315067
VA,Virginia,1981473,1769443,231836,3982752
WA,Washington,1742718,1221747,401179,3365644
WV,West Virginia,188794,489371,34886,713051
WY,Wyoming,55973,174419,25457,255849
US,U.S.,65844954,62979879,7804213,136629046