nOld,Long,Lat,County,StateCode,State,NationCode,Nation,Group,Order,NationGroup,n
1,-121.2722473,35.78694534,San Luis Obispo,CA,California,EN,El Norte,196,8919,3,1
2,-121.2722473,35.78694534,San Luis Obispo,CA,California,EN,El Norte,196,8980,3,2
3,-120.2008133,35.77548599,San Luis Obispo,CA,California,EN,El Norte,196,8920,3,3
5,-120.1950836,35.74110794,San Luis Obispo,CA,California,EN,El Norte,196,8921,3,4
4,-120.2008133,35.61505508,San Luis Obispo,CA,California,EN,El Norte,196,8922,3,5
6,-120.0919495,35.60932922,San Luis Obispo,CA,California,EN,El Norte,196,8923,3,6
7,-120.0919495,35.52338409,San Luis Obispo,CA,California,EN,El Norte,196,8924,3,7
8,-119.9945526,35.43743896,San Luis Obispo,CA,California,EN,El Norte,196,8925,3,8
9,-119.8742294,35.43743896,San Luis Obispo,CA,California,EN,El Norte,196,8926,3,9
10,-119.8742294,35.35149384,San Luis Obispo,CA,California,EN,El Norte,196,8927,3,10
11,-119.7997437,35.35149384,San Luis Obispo,CA,California,EN,El Norte,196,8928,3,11
12,-119.7997437,35.26555252,San Luis Obispo,CA,California,EN,El Norte,196,8929,3,12
13,-119.6679611,35.25409317,San Luis Obispo,CA,California,EN,El Norte,196,8930,3,13
14,-119.6565018,35.17961121,San Luis Obispo,CA,California,EN,El Norte,196,8931,3,14
15,-119.5590973,35.18533707,San Luis Obispo,CA,California,EN,El Norte,196,8932,3,15
16,-119.5476379,35.09366608,San Luis Obispo,CA,California,EN,El Norte,196,8933,3,16
17,-119.4846268,35.08220291,San Luis Obispo,CA,California,EN,El Norte,196,8934,3,17
18,-119.4674225,35.05928421,San Luis Obispo,CA,California,EN,El Norte,196,8935,3,18
19,-119.4674225,34.92750931,San Luis Obispo,CA,California,EN,El Norte,196,8936,3,19
20,-119.4674225,34.90459061,San Luis Obispo,CA,California,EN,El Norte,196,8937,3,20
21,-119.4674225,34.90459061,Santa Barbara,CA,California,EN,El Norte,198,9034,3,21
22,-119.4674225,34.90459061,Santa Barbara,CA,California,EN,El Norte,198,9083,3,22
23,-119.444519,34.89885712,Santa Barbara,CA,California,EN,El Norte,198,9035,3,23
24,-119.444519,34.89885712,Ventura,CA,California,EN,El Norte,212,9875,3,24
25,-119.392952,34.89885712,Ventura,CA,California,EN,El Norte,212,9876,3,25
26,-119.3872147,34.88167191,Ventura,CA,California,EN,El Norte,212,9877,3,26
27,-119.2840729,34.88167191,Ventura,CA,California,EN,El Norte,212,9878,3,27
28,-119.2840729,34.8587532,Ventura,CA,California,EN,El Norte,212,9879,3,28
29,-119.2439728,34.84729385,Ventura,CA,California,EN,El Norte,212,9880,3,29
30,-119.2439728,34.8129158,Ventura,CA,California,EN,El Norte,212,9881,3,30
31,-118.9460373,34.8129158,Ventura,CA,California,EN,El Norte,212,9882,3,31
32,-118.9345779,34.81864548,Ventura,CA,California,EN,El Norte,212,9883,3,32
33,-118.8944702,34.81864548,Los Angeles,CA,California,EN,El Norte,175,7827,3,33
34,-118.8944702,34.81864548,Los Angeles,CA,California,EN,El Norte,175,7877,3,34
35,-118.8944702,34.81864548,Ventura,CA,California,EN,El Norte,212,9851,3,35
36,-118.8944702,34.81864548,Ventura,CA,California,EN,El Norte,212,9884,3,36
51,-117.6511536,34.81864548,Los Angeles,CA,California,EN,El Norte,175,7828,3,37
48,-117.6626205,34.78426743,Los Angeles,CA,California,EN,El Norte,175,7829,3,38
49,-117.6626205,34.5608139,Los Angeles,CA,California,EN,El Norte,175,7830,3,39
52,-117.6511536,34.55508423,Los Angeles,CA,California,EN,El Norte,175,7831,3,40
50,-117.6568832,34.46340942,Los Angeles,CA,California,EN,El Norte,175,7832,3,41
53,-117.6454163,34.26860428,Los Angeles,CA,California,EN,El Norte,175,7833,3,42
42,-117.7370911,34.02223587,Los Angeles,CA,California,EN,El Norte,175,7834,3,43
41,-117.7657394,34.02796555,Los Angeles,CA,California,EN,El Norte,175,7835,3,44
37,-117.8001251,33.97639847,Los Angeles,CA,California,EN,El Norte,175,7836,3,45
38,-117.7886581,33.96493912,Los Angeles,CA,California,EN,El Norte,175,7837,3,46
39,-117.7886581,33.94202042,Los Angeles,CA,California,EN,El Norte,175,7838,3,47
40,-117.7886581,33.94202042,Orange,CA,California,EN,El Norte,186,8445,3,48
43,-117.6740799,33.88472366,Orange,CA,California,EN,El Norte,186,8410,3,49
44,-117.6740799,33.88472366,Orange,CA,California,EN,El Norte,186,8446,3,50
45,-117.6740799,33.88472366,Riverside,CA,California,EN,El Norte,189,8582,3,51
46,-117.6683426,33.90191269,Riverside,CA,California,EN,El Norte,189,8583,3,52
47,-117.6683426,33.91910172,Riverside,CA,California,EN,El Norte,189,8584,3,53
54,-117.6167755,33.92483139,Riverside,CA,California,EN,El Norte,189,8585,3,54
55,-117.6167755,33.96493912,Riverside,CA,California,EN,El Norte,189,8586,3,55
56,-117.5709457,33.98212814,Riverside,CA,California,EN,El Norte,189,8587,3,56
57,-117.5594788,34.03369141,Riverside,CA,California,EN,El Norte,189,8588,3,57
58,-117.3875961,34.03942108,Riverside,CA,California,EN,El Norte,189,8589,3,58
59,-117.3875961,34.02223587,Riverside,CA,California,EN,El Norte,189,8590,3,59
60,-117.2328873,34.02223587,Riverside,CA,California,EN,El Norte,189,8591,3,60
61,-117.2271652,34.01077271,Riverside,CA,California,EN,El Norte,189,8592,3,61
62,-116.9406815,34.01077271,Riverside,CA,California,EN,El Norte,189,8593,3,62
63,-116.9349594,34.03369141,Riverside,CA,California,EN,El Norte,189,8594,3,63
64,-116.3276138,34.03369141,Riverside,CA,California,EN,El Norte,189,8595,3,64
65,-116.1786499,34.02796555,Riverside,CA,California,EN,El Norte,189,8596,3,65
66,-115.3192215,34.03369141,Riverside,CA,California,EN,El Norte,189,8597,3,66
67,-115.3192215,34.07952881,Riverside,CA,California,EN,El Norte,189,8598,3,67
68,-114.4884262,34.07952881,Riverside,CA,California,EN,El Norte,189,8599,3,68
69,-114.4196701,34.07952881,La Paz,AZ,Arizona,EN,El Norte,3083,90990,3,69
70,-114.4196701,34.07952881,Riverside,CA,California,EN,El Norte,189,8600,3,70
71,-114.3967514,34.11390686,La Paz,AZ,Arizona,EN,El Norte,3083,90991,3,71
72,-114.2993469,34.15401077,La Paz,AZ,Arizona,EN,El Norte,3083,90992,3,72
73,-114.2305984,34.19984818,La Paz,AZ,Arizona,EN,El Norte,3083,90993,3,73
74,-114.1904907,34.24568558,La Paz,AZ,Arizona,EN,El Norte,3083,90994,3,74
76,-114.133194,34.2628746,La Paz,AZ,Arizona,EN,El Norte,3083,90995,3,75
75,-114.1389236,34.29725266,La Paz,AZ,Arizona,EN,El Norte,3083,90996,3,76
77,-114.0873566,34.29725266,La Paz,AZ,Arizona,EN,El Norte,3083,90997,3,77
78,-114.0243301,34.2628746,La Paz,AZ,Arizona,EN,El Norte,3083,90998,3,78
79,-113.9040146,34.25141907,La Paz,AZ,Arizona,EN,El Norte,3083,90999,3,79
80,-113.8696365,34.25714493,La Paz,AZ,Arizona,EN,El Norte,3083,91000,3,80
81,-113.8295288,34.23423004,La Paz,AZ,Arizona,EN,El Norte,3083,91001,3,81
82,-113.703476,34.2399559,La Paz,AZ,Arizona,EN,El Norte,3083,91002,3,82
83,-113.6748276,34.21131134,La Paz,AZ,Arizona,EN,El Norte,3083,91003,3,83
84,-113.5774231,34.23423004,La Paz,AZ,Arizona,EN,El Norte,3083,91004,3,84
85,-113.5716934,34.26860428,La Paz,AZ,Arizona,EN,El Norte,3083,91005,3,85
86,-113.525856,34.30871201,La Paz,AZ,Arizona,EN,El Norte,3083,91006,3,86
87,-113.4284515,34.30871201,La Paz,AZ,Arizona,EN,El Norte,3083,91007,3,87
88,-113.3768921,34.30298233,La Paz,AZ,Arizona,EN,El Norte,3083,91008,3,88
90,-113.3310547,34.32590103,La Paz,AZ,Arizona,EN,El Norte,3083,91009,3,89
89,-113.3310547,34.00504684,La Paz,AZ,Arizona,EN,El Norte,3083,90958,3,90
91,-113.3310547,34.00504684,La Paz,AZ,Arizona,EN,El Norte,3083,91010,3,91
92,-113.3310547,34.00504684,Maricopa,AZ,Arizona,EN,El Norte,74,3616,3,92
93,-113.1190567,34.00504684,Maricopa,AZ,Arizona,EN,El Norte,74,3617,3,93
94,-112.7409058,34.00504684,Maricopa,AZ,Arizona,EN,El Norte,74,3618,3,94
95,-112.2768097,33.87899399,Maricopa,AZ,Arizona,EN,El Norte,74,3619,3,95
96,-112.2596207,33.90764236,Maricopa,AZ,Arizona,EN,El Norte,74,3620,3,96
98,-112.2252426,33.92483139,Maricopa,AZ,Arizona,EN,El Norte,74,3621,3,97
97,-112.2309723,33.95920944,Maricopa,AZ,Arizona,EN,El Norte,74,3622,3,98
99,-112.1908646,33.97639847,Maricopa,AZ,Arizona,EN,El Norte,74,3623,3,99
100,-112.1450272,34.03942108,Maricopa,AZ,Arizona,EN,El Norte,74,3624,3,100
101,-111.8757401,34.02223587,Maricopa,AZ,Arizona,EN,El Norte,74,3625,3,101
102,-111.7210388,34.00504684,Maricopa,AZ,Arizona,EN,El Norte,74,3626,3,102
105,-111.4345627,33.99931717,Maricopa,AZ,Arizona,EN,El Norte,74,3627,3,103
106,-111.4345627,33.98212814,Maricopa,AZ,Arizona,EN,El Norte,74,3628,3,104
103,-111.4517517,33.95347977,Maricopa,AZ,Arizona,EN,El Norte,74,3629,3,105
104,-111.4460144,33.92483139,Maricopa,AZ,Arizona,EN,El Norte,74,3630,3,106
107,-111.4059143,33.91337204,Maricopa,AZ,Arizona,EN,El Norte,74,3631,3,107
108,-111.394455,33.88472366,Maricopa,AZ,Arizona,EN,El Norte,74,3632,3,108
109,-111.394455,33.85034561,Maricopa,AZ,Arizona,EN,El Norte,74,3633,3,109
113,-111.3715363,33.83315659,Maricopa,AZ,Arizona,EN,El Norte,74,3634,3,110
112,-111.3772659,33.79305267,Maricopa,AZ,Arizona,EN,El Norte,74,3636,3,111
110,-111.3887253,33.80450821,Maricopa,AZ,Arizona,EN,El Norte,74,3635,3,112
111,-111.3887253,33.75294495,Maricopa,AZ,Arizona,EN,El Norte,74,3637,3,113
114,-111.3486176,33.74721527,Maricopa,AZ,Arizona,EN,El Norte,74,3638,3,114
115,-111.3371582,33.69564819,Maricopa,AZ,Arizona,EN,El Norte,74,3640,3,115
116,-111.3314285,33.73002625,Maricopa,AZ,Arizona,EN,El Norte,74,3639,3,116
117,-111.3085098,33.68991852,Maricopa,AZ,Arizona,EN,El Norte,74,3641,3,117
118,-111.2684021,33.63835526,Maricopa,AZ,Arizona,EN,El Norte,74,3642,3,118
119,-111.2454834,33.62116241,Maricopa,AZ,Arizona,EN,El Norte,74,3643,3,119
120,-111.228302,33.61543655,Maricopa,AZ,Arizona,EN,El Norte,74,3644,3,120
121,-111.2111053,33.63262177,Maricopa,AZ,Arizona,EN,El Norte,74,3645,3,121
122,-111.2111053,33.64981079,Maricopa,AZ,Arizona,EN,El Norte,74,3646,3,122
123,-111.1881943,33.66699982,Maricopa,AZ,Arizona,EN,El Norte,74,3647,3,123
124,-111.1709976,33.67845917,Maricopa,AZ,Arizona,EN,El Norte,74,3648,3,124
125,-111.1652679,33.67845917,Maricopa,AZ,Arizona,EN,El Norte,74,3649,3,125
126,-111.0678711,33.5123024,Maricopa,AZ,Arizona,EN,El Norte,74,3650,3,126
127,-111.0564117,33.50084305,Maricopa,AZ,Arizona,EN,El Norte,74,3651,3,127
128,-111.0449524,33.46073532,Maricopa,AZ,Arizona,EN,El Norte,74,3652,3,128
129,-111.0449524,33.46073532,Pinal,AZ,Arizona,EN,El Norte,78,3860,3,129
130,-111.016304,33.43209076,Pinal,AZ,Arizona,EN,El Norte,78,3861,3,130
131,-110.9704666,33.3289566,Pinal,AZ,Arizona,EN,El Norte,78,3862,3,131
132,-110.9590073,33.27738953,Pinal,AZ,Arizona,EN,El Norte,78,3863,3,132
133,-110.9303589,33.24301147,Pinal,AZ,Arizona,EN,El Norte,78,3864,3,133
134,-110.7928467,32.9851799,Pinal,AZ,Arizona,EN,El Norte,78,3865,3,134
135,-110.7641983,32.9851799,Pinal,AZ,Arizona,EN,El Norte,78,3866,3,135
136,-110.7298279,33.01382828,Pinal,AZ,Arizona,EN,El Norte,78,3867,3,136
137,-110.7126312,33.08258438,Pinal,AZ,Arizona,EN,El Norte,78,3868,3,137
138,-110.6782532,33.09404373,Pinal,AZ,Arizona,EN,El Norte,78,3869,3,138
139,-110.6610641,33.11696243,Pinal,AZ,Arizona,EN,El Norte,78,3870,3,139
140,-110.6209564,33.14560699,Pinal,AZ,Arizona,EN,El Norte,78,3871,3,140
141,-110.5865784,33.14560699,Pinal,AZ,Arizona,EN,El Norte,78,3872,3,141
142,-110.5522079,33.16279984,Pinal,AZ,Arizona,EN,El Norte,78,3873,3,142
143,-110.5063705,33.1914444,Pinal,AZ,Arizona,EN,El Norte,78,3874,3,143
144,-110.4834518,33.1914444,Pinal,AZ,Arizona,EN,El Norte,78,3875,3,144
145,-110.4605331,33.20290375,Graham,AZ,Arizona,EN,El Norte,72,3563,3,145
146,-110.4605331,33.20290375,Pinal,AZ,Arizona,EN,El Norte,78,3838,3,146
147,-110.4605331,33.20290375,Pinal,AZ,Arizona,EN,El Norte,78,3876,3,147
151,-110.4204254,33.19717407,Graham,AZ,Arizona,EN,El Norte,72,3564,3,148
152,-110.4032364,33.19717407,Graham,AZ,Arizona,EN,El Norte,72,3565,3,149
150,-110.4376144,33.24874115,Graham,AZ,Arizona,EN,El Norte,72,3566,3,150
148,-110.4548035,33.28884506,Graham,AZ,Arizona,EN,El Norte,72,3567,3,151
149,-110.4490738,33.35760117,Graham,AZ,Arizona,EN,El Norte,72,3568,3,152
153,-110.4032364,33.40343857,Graham,AZ,Arizona,EN,El Norte,72,3569,3,153
154,-110.368866,33.40343857,Graham,AZ,Arizona,EN,El Norte,72,3570,3,154
155,-110.3516693,33.43781662,Graham,AZ,Arizona,EN,El Norte,72,3571,3,155
156,-110.3001022,33.43781662,Graham,AZ,Arizona,EN,El Norte,72,3572,3,156
157,-110.2370834,33.47219467,Graham,AZ,Arizona,EN,El Norte,72,3573,3,157
159,-110.0136261,33.47219467,Graham,AZ,Arizona,EN,El Norte,72,3574,3,158
158,-110.0136261,33.58678436,Graham,AZ,Arizona,EN,El Norte,72,3525,3,159
160,-110.0136261,33.58678436,Graham,AZ,Arizona,EN,El Norte,72,3575,3,160
161,-109.9735184,33.58678436,Graham,AZ,Arizona,EN,El Norte,72,3526,3,161
162,-109.9563293,33.57532883,Graham,AZ,Arizona,EN,El Norte,72,3527,3,162
163,-109.9219513,33.58678436,Graham,AZ,Arizona,EN,El Norte,72,3528,3,163
164,-109.8990326,33.55813599,Graham,AZ,Arizona,EN,El Norte,72,3529,3,164
165,-109.8875732,33.55241013,Graham,AZ,Arizona,EN,El Norte,72,3530,3,165
166,-109.8531952,33.54094696,Graham,AZ,Arizona,EN,El Norte,72,3531,3,166
167,-109.8360138,33.50084305,Graham,AZ,Arizona,EN,El Norte,72,3532,3,167
168,-109.8073578,33.50084305,Graham,AZ,Arizona,EN,El Norte,72,3533,3,168
169,-109.7959061,33.4893837,Graham,AZ,Arizona,EN,El Norte,72,3534,3,169
170,-109.7615204,33.4893837,Graham,AZ,Arizona,EN,El Norte,72,3535,3,170
171,-109.7328796,33.50657272,Graham,AZ,Arizona,EN,El Norte,72,3536,3,171
172,-109.7271423,33.5352211,Graham,AZ,Arizona,EN,El Norte,72,3537,3,172
173,-109.6813049,33.55241013,Graham,AZ,Arizona,EN,El Norte,72,3538,3,173
174,-109.6583939,33.59824371,Graham,AZ,Arizona,EN,El Norte,72,3539,3,174
175,-109.5667191,33.62689209,Graham,AZ,Arizona,EN,El Norte,72,3540,3,175
176,-109.5266113,33.63262177,Graham,AZ,Arizona,EN,El Norte,72,3541,3,176
177,-109.5208817,33.64408112,Graham,AZ,Arizona,EN,El Norte,72,3542,3,177
178,-109.5037003,33.64981079,Graham,AZ,Arizona,EN,El Norte,72,3543,3,178
179,-109.5037003,33.64981079,Greenlee,AZ,Arizona,EN,El Norte,73,3593,3,179
180,-109.4807739,33.65554047,Greenlee,AZ,Arizona,EN,El Norte,73,3594,3,180
181,-109.4807739,33.67845917,Greenlee,AZ,Arizona,EN,El Norte,73,3595,3,181
182,-109.4463959,33.71283722,Greenlee,AZ,Arizona,EN,El Norte,73,3596,3,182
183,-109.4062881,33.71856689,Greenlee,AZ,Arizona,EN,El Norte,73,3597,3,183
184,-109.3604507,33.73002625,Greenlee,AZ,Arizona,EN,El Norte,73,3598,3,184
185,-109.3604507,33.75294495,Greenlee,AZ,Arizona,EN,El Norte,73,3599,3,185
186,-109.3489914,33.77013397,Greenlee,AZ,Arizona,EN,El Norte,73,3600,3,186
187,-109.3260803,33.78159332,Greenlee,AZ,Arizona,EN,El Norte,73,3601,3,187
188,-109.2917023,33.77586365,Greenlee,AZ,Arizona,EN,El Norte,73,3602,3,188
189,-109.1656494,33.77586365,Greenlee,AZ,Arizona,EN,El Norte,73,3603,3,189
190,-109.0567856,33.77586365,Greenlee,AZ,Arizona,EN,El Norte,73,3604,3,190
191,-109.0510635,33.20290375,Grant,NM,New Mexico,EN,El Norte,1771,52224,3,191
192,-109.0510635,33.20290375,Greenlee,AZ,Arizona,EN,El Norte,73,3605,3,192
193,-108.9250107,33.20863342,Grant,NM,New Mexico,EN,El Norte,1771,52225,3,193
194,-108.5411224,33.20863342,Grant,NM,New Mexico,EN,El Norte,1771,52226,3,194
195,-108.1457901,33.20290375,Grant,NM,New Mexico,EN,El Norte,1771,52227,3,195
196,-108.0140076,33.19717407,Grant,NM,New Mexico,EN,El Norte,1771,52228,3,196
200,-107.8421173,33.19717407,Grant,NM,New Mexico,EN,El Norte,1771,52229,3,197
197,-107.8535767,33.15706635,Grant,NM,New Mexico,EN,El Norte,1771,52230,3,198
201,-107.8421173,33.11696243,Grant,NM,New Mexico,EN,El Norte,1771,52231,3,199
199,-107.847847,33.05966568,Grant,NM,New Mexico,EN,El Norte,1771,52232,3,200
198,-107.8535767,33.00236893,Grant,NM,New Mexico,EN,El Norte,1771,52233,3,201
202,-107.8249283,32.9622612,Grant,NM,New Mexico,EN,El Norte,1771,52234,3,202
203,-107.7848206,32.94507217,Grant,NM,New Mexico,EN,El Norte,1771,52235,3,203
205,-107.7733612,32.92215347,Grant,NM,New Mexico,EN,El Norte,1771,52236,3,204
204,-107.7848206,32.87059021,Grant,NM,New Mexico,EN,El Norte,1771,52237,3,205
